昵称,性别,地区,日期,评论,点赞
pochicx,男,浙江,2025-05-03 22:35:56,打卡,2
我还只是个宝宝呢,保密,重庆,2025-05-03 16:38:14,10：30,11
顺其自然lys,男,湖北,2025-05-03 16:30:00,19人正在看,1
Jake-Dole,男,四川,2025-05-03 03:29:56,传奇开始的地方,2
GiantsZzz,保密,内蒙古,2025-05-02 20:06:24,玩完了再回看，最终版本确实比这强不少,19
庄巽,男,浙江,2025-05-02 15:23:03,朝花夕拾杯中酒，寂寞的人在风雨后,7
爱吃红烧武昌鱼,男,湖南,2025-05-02 15:00:03,哎,1
爱搞笑的艾米,女,四川,2025-05-02 11:26:49,666,1
哔゚哩゚哔゚哩゚,保密,重庆,2025-05-02 10:58:23,11:35这个boss在游戏没出现啊,4
寰宇青山,保密,湖南,2025-05-02 02:59:14,回首向来萧瑟处，归去，也无风雨也无晴[支持],6
纯哥168,保密,江苏,2025-05-01 22:33:46,进度，3周目，工作原因，时间不充裕。刚买了彩胶，没事听听。影神图已购，期待七月发货。你是我国产单机梦的起源。感谢游戏科学，感谢冯骥，感谢杨奇！每一个游戏细节都满足我心中国产游戏的点。感谢，感谢。[拥抱],16
暗影无叶,男,广东,2025-05-01 21:40:04,[热词系列_打卡],3
可口可乐Cool,保密,北京,2025-05-01 20:59:54,感觉最开始的游戏的环境灯光最有氛围感，还有boss的场地紧凑更有神秘压迫感，不知道为啥改了风格,5
我最亲最亲的老公,保密,河北,2025-05-01 18:22:18,进度：9周目完结撒花，你们那，是不是四周目就不要了,5
心心可甜了,男,江苏,2025-05-01 16:08:24,恭喜黑神话悟空成为国内首个获得五四青年奖的游戏团队[支持],21
星辰小竹鼠-,保密,安徽,2025-05-01 12:49:49,神中神,6
合理开摆,男,湖北,2025-05-01 02:19:38,确实没白等，再等个dlc,6
原与二,保密,山西,2025-04-30 22:13:31,我猜你点了按时间对吧[星星眼],24
心心可甜了,男,江苏,2025-04-30 14:09:47,这才叫真实机,6
丶艾梅利姆光线,保密,北京,2025-04-30 14:02:55,尾后针（咬牙切齿）,8
妮妮酱的超级小奶狗,保密,河北,2025-04-30 13:50:21,汇报一下进程。刚刚退出游戏。下次有时间再打大圣吧。,11
风住又风起,男,北京,2025-04-30 09:48:09,今年820有大的吗？[大哭],4
生姜与蒜,男,重庆,2025-04-30 04:15:24,等黑猴，玩黑猴的四年，真好啊,8
栋栋果实,保密,河南,2025-04-30 02:16:52,看完明末的预告特意回来看，差距太大了[脸红],12
陌上与人,保密,四川,2025-04-29 22:29:13,你兜兜转转又回到这里，可有悟到什么,51
肖哥投基不投机,男,浙江,2025-04-29 22:19:39,【杭州地铁里偶遇超巨大的如意金箍棒，应该是百事黑神话悟空联名广告吧#黑神话悟空 #百事可乐 #如意金箍棒-哔哩哔哩】 https://b23.tv/h4AgKiy,4
曲项向白厄,女,四川,2025-04-29 21:21:42,什么时候出DLC,3
愤怒的小草哥,男,广东,2025-04-29 20:20:38,什么时候出外观幻化,1
MikuDragon音龙君,保密,重庆,2025-04-29 17:13:05,赶紧端DLC ！,2
_北人_,男,四川,2025-04-29 16:47:38,我穿越回来了，游戏很好玩。,3
星辰小竹鼠-,保密,安徽,2025-04-29 15:21:39,轻舟已过万重山，前路漫漫亦灿灿！,5
迷梦的鹿,男,广东,2025-04-29 11:48:04,为国单开了个好头,9
限定奇兵,保密,河南,2025-04-29 11:23:44,轻舟已过万重山,5
七宗罪夜想曲,男,福建,2025-04-29 11:21:49,梦开始的地方,1
高木太可爱了吧,男,安徽,2025-04-29 11:12:49,考古,1
